location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory
LOC-171,D'Dieuland,-6.8420561,107.6233591,10000,20000,Per Orang,Rekreasi Keluarga,Kawasan rekreasi
LOC-172,Sudut Pandang Bandung,-6.8423638,107.6232403,75000,85000,Per Orang,Tempat Kuliner,Restoran wisata
LOC-173,Cakrawala Nature Sparkling Restaurant,-6.8421396,107.6230737,50000,50000,Per Orang,Tempat Kuliner,Restoran wisata
LOC-174,Lereng Anteng Panoramic Coffee,-6.8428782,107.6221498,22000,22000,Per Orang,Tempat Kuliner,Coffee shop
LOC-175,Taman Kupu-Kupu Cihanjuang,-6.8590047,107.568779,20000,20000,Per Orang,Wisata Satwa,Wisata satwa
LOC-176,Padepokan Dayang Sumbi,-6.9013623,107.6387264,85000,85000,Per Orang,Tempat Belajar,Edukasi budaya dan alam
LOC-177,Wahoo Waterworld,-6.8599638,107.4630882,92000,130000,Per Orang,Wahana Air,Waterworld
LOC-178,De'Ranch Lembang,-6.8150007,107.6265289,26000,26000,Per Orang,Wisata Satwa,Wisata satwa
LOC-179,Mini Mania Lembang,-6.8209615,107.6099985,35000,35000,Per Orang,Rekreasi Keluarga,Taman miniatur
LOC-180,Cimory Dairyland Lembang,-6.8214385,107.6258437,15000,45000,Per Orang,Wisata Satwa,Wisata farm
LOC-181,Noah's Park Lembang,-6.8302741,107.6341391,20000,250000,Per Orang,Rekreasi Keluarga,Taman rekreasi
LOC-182,Pine Forest Camp Lembang,-6.8154456,107.6940115,25000,25000,Per Orang,Tempat Camping,Camping ground
LOC-183,Imah Seniman Lembang,-6.8211591,107.6067087,0,0,Gratis,Penginapan Wisata,Resort wisata
LOC-184,Gunung Batu Lembang,-6.8303443,107.6361831,15000,20000,Per Orang,Wisata Alam,Daya tarik alam
LOC-185,Ciwangun Indah Camp,-6.786939,107.5837331,15000,45000,Per Orang,Tempat Camping,Camping ground
LOC-186,Indiana Camp Lembang,-6.8258247,107.4356112,10000,10000,Per Orang,Tempat Camping,Camping ground
LOC-187,Curug Layung,-6.7768125,107.5778125,5000,20000,Per Orang,Wisata Alam,Daya tarik alam
LOC-188,Curug Bugbrug,-6.7975673,107.5783554,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-189,Curug Aseupan,-6.7875652,107.5822844,10000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-190,Curug Anom,-6.8111367,107.5616226,30000,35000,Per Orang,Wisata Alam,Daya tarik alam
LOC-191,Curug Panyandaan,-7.0304477,107.3749802,10000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-192,Curug Ngebul Gununghalu,-7.082535,107.2824445,10000,10000,Per Orang,Wisata Alam,Daya tarik alam
LOC-193,Sanghyang Poek,-6.868449,107.3472266,25000,25000,Per Orang,Wisata Alam,Gua dan sungai
LOC-194,Sanghyang Tikoro,-6.8638417,107.348877,5000,20000,Per Orang,Wisata Alam,Gua dan sungai
LOC-195,Sungai Cikahuripan Green Canyon Saguling,-6.901701,107.3572662,10000,10000,Per Orang,Wisata Alam,Sungai dan tebing
LOC-196,Curug Walanda Citatah,-6.6510472,107.277045,8000,8000,Per Orang,Wisata Alam,Daya tarik alam
LOC-197,Curug Nyalangkadar,-7.1076,107.4492,22000,450000,Per Orang,Wisata Alam,Daya tarik alam
LOC-198,Tebing Gunung Hawu,-6.8347221,107.4602778,10000,15000,Per Orang,Wisata Alam,Daya tarik alam
LOC-199,Taman Buru Gunung Masigit Kareumbi,-6.9413427,107.9378767,5000,7000,Per Orang,Taman Kota,Ruang publik kota
LOC-200,Wisata Batu Kuda,-6.893123,107.74516,10000,15000,Per Orang,Wisata Alam,Hutan pinus
