location_name,total_ulasan,avg_sentimen_skor,avg_rating,ulasan_positif,ulasan_negatif,sentimen_label_lokasi,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
Tanjung Duriat,54,0.7222222222222222,4.37037037037037,44,5,Sangat Positif,0.7222222222222222,tfidf_linearsvc,run_nlp_pipeline_v2,True
Tafso Barn,190,0.7210526315789474,4.247368421052632,153,16,Sangat Positif,0.7210526315789474,tfidf_linearsvc,run_nlp_pipeline_v2,True
Fairy Garden by The Lodge,478,0.7133891213389121,4.2887029288702925,379,38,Sangat Positif,0.7133891213389121,tfidf_linearsvc,run_nlp_pipeline_v2,True
Mini Mania Lembang,44,0.7045454545454546,4.409090909090909,35,4,Sangat Positif,0.7045454545454546,tfidf_linearsvc,run_nlp_pipeline_v2,True
Curug Malela,20,0.7,4.2,16,2,Sangat Positif,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bukit Jamur Rancabolang Pasirjambu,200,0.7,4.15,156,16,Sangat Positif,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
Bendungan Jatigede,50,0.7,4.26,42,7,Sangat Positif,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
Jans Park (Jatinangor National Park),53,0.6981132075471698,4.566037735849057,43,6,Sangat Positif,0.6981132075471698,tfidf_linearsvc,run_nlp_pipeline_v2,True
Dago Bakery Punclut,775,0.6890322580645162,4.24,630,96,Sangat Positif,0.6890322580645162,tfidf_linearsvc,run_nlp_pipeline_v2,True
Pesona Nirwana Waterpark,41,0.6829268292682927,4.2682926829268295,33,5,Sangat Positif,0.6829268292682927,tfidf_linearsvc,run_nlp_pipeline_v2,True
The Great Asia Africa,509,0.6817288801571709,4.255402750491159,400,53,Sangat Positif,0.6817288801571709,tfidf_linearsvc,run_nlp_pipeline_v2,True
Muara Rahong Hills,105,0.6761904761904762,4.314285714285714,85,14,Sangat Positif,0.6761904761904762,tfidf_linearsvc,run_nlp_pipeline_v2,True
Alun-Alun Kota Bandung,200,0.675,4.225,158,23,Sangat Positif,0.675,tfidf_linearsvc,run_nlp_pipeline_v2,True
Imah Seniman Lembang,52,0.6730769230769231,4.365384615384615,42,7,Sangat Positif,0.6730769230769231,tfidf_linearsvc,run_nlp_pipeline_v2,True
Sanghyang Poek,18,0.6666666666666666,4.277777777777778,14,2,Sangat Positif,0.6666666666666666,tfidf_linearsvc,run_nlp_pipeline_v2,True
Indiana Camp Lembang,56,0.6607142857142857,4.160714285714286,46,9,Sangat Positif,0.6607142857142857,tfidf_linearsvc,run_nlp_pipeline_v2,True
