_excel_row,penginapan_id,name,property_type,overall_rating,reviews,p2_sentiment_policy_status,exact_google_maps_url,url_status
55,LODGE-00509,KM Heritage Villa,villa,5.0,1.0,exact_google_maps_url_not_found,,blank
56,LODGE-01177,Rehat at Villa Golf Island Dago Resort I,villa,3.5,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Rehat+at+Villa+Golf+Island+Dago+Resort+I+-6.865%2C107.6483&query_place_id=ChIJVel41UHnaC4R6n36-gPqF6c,valid_google_maps_like
57,LODGE-01178,Rehat at Villa Golf Island Dago Resort II,villa,3.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Rehat+at+Villa+Golf+Island+Dago+Resort+II+-6.8656%2C107.6479&query_place_id=ChIJnWlChmrnaC4RCXnwoT9p_7s,valid_google_maps_like
58,LODGE-00514,Villa Rian Argapuri Resort,villa,2.5,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Villa+Rian+Argapuri+Resort+-7.1268%2C107.5138&query_place_id=ChIJXxuv6--SaC4RfiAbb07gKL4,valid_google_maps_like
59,LODGE-00076,"Villa with Jacuzzi, Damar Ningrum 4",villa,5.0,1.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Villa+with+Jacuzzi%2C+Damar+Ningrum+4+-6.8299%2C107.5538&query_place_id=ChIJVXuUVOrjaC4RfTi6KV2W9L4,valid_google_maps_like
60,LODGE-01283,La Grande by Djitu Hospitality,vacation_rental,3.1417,136.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=La+Grande+by+Djitu+Hospitality+-6.9094%2C107.6104&query_place_id=ChIJI9pwjjfmaC4RMr2jcXbc6p4,valid_google_maps_like
61,LODGE-00624,Saung Arjuna Syandana Resort Ciwidey,vacation_rental,3.925,118.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Saung+Arjuna+Syandana+Resort+Ciwidey+-7.109%2C107.4847&query_place_id=ChIJB3M1BaaSaC4RgfX4N8pv9KE,valid_google_maps_like
62,LODGE-01316,Sorte by Kozystay -Dago,vacation_rental,4.8342,32.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Sorte+by+Kozystay+-+Dago+-6.8558%2C107.6476&query_place_id=ChIJiawUyUfnaC4RfHTxv_q4x7U,valid_google_maps_like
63,LODGE-00519,Kuleum Camp And Cabin By ARBA,vacation_rental,4.125,30.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Kuleum+Camp+And+Cabin+By+ARBA+-7.1416%2C107.396&query_place_id=ChIJrQYYdYiMaC4RUlqVh31GXBY,valid_google_maps_like
64,LODGE-01240,"Cozy Haven with Jacuzzi, Rooftop",vacation_rental,4.0,19.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Cozy+Haven+with+Jacuzzi%2C+Rooftop+-+Three-Bedroom+House+-6.8444%2C107.6051&query_place_id=ChIJExKNbDPhaC4RlSahnEkeCLc,valid_google_maps_like
65,LODGE-00093,Imah Seuri,vacation_rental,4.3,12.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Imah+Seuri+by+Kaya+Rooms+-6.8179%2C107.5743&query_place_id=ChIJYddanmLhaC4Rv1-CE97qSMI,valid_google_maps_like
66,LODGE-00067,"Kyoto House - KBP with Onsen style pool, Warm water, Near Parahyangan Golf",vacation_rental,4.85,10.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Kyoto+House+-+KBP+with+Onsen+style+pool%2C+Warm+water%2C+Near+Parahyangan+Golf+-6.8735%2C107.4698&query_place_id=ChIJZyBcujf7aC4Rva4fgR2fH0M,valid_google_maps_like
67,LODGE-00097,Pasteur Beautiful Luxury Home - Vacation Home,vacation_rental,4.4,10.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Pasteur+Beautiful+Luxury+Home+-+Vacation+Home+-6.8929%2C107.5749&query_place_id=ChIJYxMEUH_maC4R9Rjpp9hKo0A,valid_google_maps_like
68,LODGE-01186,Skara by Kozystay - Bandung,vacation_rental,3.8,9.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Skara+by+Kozystay+-+Bandung+-6.9093%2C107.6101&query_place_id=ChIJ2-KwjjfmaC4Rtz5HRicux7E,valid_google_maps_like
69,LODGE-01319,Sukha by Kozystay - Dago,vacation_rental,4.56,9.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Sukha+Villa+by+Kozystay+-6.8558%2C107.6476&query_place_id=ChIJA-bkKHrnaC4Rf7wBkiIigFA,valid_google_maps_like
70,LODGE-01184,Scandinavian Asia Afrika,vacation_rental,3.75,8.0,exact_google_maps_url_filled,https://www.google.com/maps/search/?api=1&query=Scandinavian+Asia+Afrika+-6.9238%2C107.6182&query_place_id=ChIJ4X1JmSvmaC4RrWRyeT4luYg,valid_google_maps_like
