penginapan_id,name,property_type,property_type_final,latitude,longitude,region_bucket,overall_rating,reviews,price_lowest,price_display,data_quality_score,data_quality_label,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_adjusted_sentiment_label,hotel_review_confidence_label,capacity_min_estimated,capacity_max_estimated,capacity_confidence,listing_policy_status,listing_policy_action,manual_decision,manual_note,ranking_tier_after_p1,primary_ranking_allowed_after_p1,secondary_ranking_allowed_after_p1,drop_from_dataset_after_p1,manual_validation_needed_after_p1,manual_validation_topic_after_p1
LODGE-00999,RedDoorz near Alun Alun Bandung 3,hotel,hotel,-6.9296,107.6054,kota_bandung,3.325,146.0,203987.0,Rp 203.987,1.0,high,24,0.4188433046331412,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,hotel,-6.8862,107.5841,kota_bandung,3.3,233.0,123736.0,Rp 123.736,1.0,high,0,,Belum tersedia,missing_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01001,RedDoorz near Farm House 4,hotel,hotel,-6.8401,107.597,kota_bandung,4.0,107.0,116799.0,Rp 116.799,1.0,high,37,0.5334642457946045,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01004,RedDoorz near Istana Plaza 2,hotel,hotel,-6.9051,107.5986,kota_bandung,3.6,165.0,160467.0,Rp 160.467,1.0,high,17,0.4089853497964655,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01005,RedDoorz near Istana Plaza 3,hotel,hotel,-6.9011,107.5954,kota_bandung,4.5,76.0,167570.0,Rp 167.570,1.0,high,21,0.5861459698174815,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01006,RedDoorz near Margahayu Raya,hotel,hotel,-6.9437,107.6615,kota_bandung,4.0,336.0,136226.0,Rp 136.226,1.0,high,15,0.4463933190192952,Positif,medium_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01007,RedDoorz near Metro Bandung,hotel,hotel,-6.9409,107.6549,kota_bandung,1.8,20.0,109803.0,Rp 109.803,1.0,high,16,0.2754046007821998,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01008,RedDoorz near Parahyangan University,hotel,hotel,-6.8743,107.6075,kota_bandung,4.3,244.0,115782.0,Rp 115.782,1.0,high,23,0.5345596964553379,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01009,RedDoorz near Paris Van Java,hotel,hotel,-6.885,107.5969,kota_bandung,4.0,45.0,280796.0,Rp 280.796,1.0,high,33,0.5733326392014737,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
LODGE-01010,RedDoorz near Riau Junction Mall 2,hotel,hotel,-6.9023,107.6152,kota_bandung,3.8,146.0,156948.0,Rp 156.948,1.0,high,25,0.5185051979419998,Positif,high_review_confidence,1,2,low_capacity_confidence,primary_candidate,allow_primary_ranking,,,primary_candidate,True,True,False,False,
