scope,penginapan_id,name,property_type,priority,latitude,longitude,search_query
all_237,LODGE-00762,datar pinus LUXURY,vacation_rental,P1_core_rating_price_missing,-7.1837,107.5485,"datar pinus LUXURY -7.18370,107.54850"
all_237,LODGE-00763,family only,vacation_rental,P1_core_rating_price_missing,-7.1229,107.424,"family only -7.12290,107.42400"
all_237,LODGE-00336,kusumanagara 1,vacation_rental,P1_core_rating_price_missing,-6.8033,107.5484,"kusumanagara 1 -6.80330,107.54840"
all_237,LODGE-00349,Aira Glamping - Tent,vacation_rental,P1_core_rating_price_missing,-6.8035,107.5471,"Aira Glamping - Tent -6.80350,107.54710"
all_237,LODGE-00353,Casa de Jingga - KBP,vacation_rental,P1_core_rating_price_missing,-6.8731,107.4732,"Casa de Jingga - KBP -6.87310,107.47320"
all_237,LODGE-00495,D'Sentra Riverside Camp,vacation_rental,P1_core_rating_price_missing,-7.1715,107.5619,"D'Sentra Riverside Camp -7.17150,107.56190"
all_237,LODGE-00358,Hanara Private Glamping - Tent,vacation_rental,P1_core_rating_price_missing,-6.8042,107.5488,"Hanara Private Glamping - Tent -6.80420,107.54880"
all_237,LODGE-00360,Keyla Private Glamping,vacation_rental,P1_core_rating_price_missing,-6.8036,107.5479,"Keyla Private Glamping -6.80360,107.54790"
all_237,LODGE-00374,Royal Tulip Degreen Bandung,vacation_rental,P1_core_rating_price_missing,-6.8995,107.5326,"Royal Tulip Degreen Bandung -6.89950,107.53260"
all_237,LODGE-00783,Seribu Pulau Pangalengan - Tent,vacation_rental,P1_core_rating_price_missing,-7.1902,107.5504,"Seribu Pulau Pangalengan - Tent -7.19020,107.55040"
all_237,LODGE-01631,Cove Vaia,vacation_rental,P1_core_rating_price_missing,-6.8925,107.5841,"Cove Vaia -6.89250,107.58410"
all_237,LODGE-00793,Farmstay Manangel,vacation_rental,P1_core_rating_price_missing,-6.7861,107.1329,"Farmstay Manangel -6.78610,107.13290"
all_237,LODGE-00794,Glamping Ciwidey Argapuri,vacation_rental,P1_core_rating_price_missing,-7.1307,107.5138,"Glamping Ciwidey Argapuri -7.13070,107.51380"
