id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,category_official,location_name,address,coordinate,tahun,latitude,longitude
148,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,MARYJANE STORE,JL. SULTAN TIRTAYASA NO.15,"-6.901828702482074, 107.61406120499139",2021,-6.901828702482074,107.61406120499139
149,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,DAUKY FASHION HIJAB PASTEUR,JL. SUKARAJA ISTANA PASTTEUR REGENCY CRA49,"-6.890443329897997, 107.57501695629665",2021,-6.890443329897997,107.57501695629665
150,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TRIVIUM CLOTH,JL. LENGKONG BESAR NO. 81B,"-6.924931041717792, 107.61253150162418",2021,-6.924931041717792,107.61253150162418
151,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,OUVAL RESEARCH BUAH BATU,JL. BUAH BATU NO. 64,"-6.932529481273305, 107.6188677939952",2021,-6.932529481273305,107.6188677939952
152,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO ISNA FAJAR,JL. OTTO ISKANDAR DINATA NO. 177,"-6.919815344306286, 107.6042845743056",2021,-6.919815344306286,107.6042845743056
153,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BAJUKU BANDUNG,JL. CIPAMUKOLAN NO. 58,"-6.941638480489701, 107.67690030227584",2021,-6.941638480489701,107.67690030227584
154,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO PRABU,JL. JENDERAL AHMAD YANINO. 124,"-6.91983621620014, 107.62114001206453",2021,-6.91983621620014,107.62114001206453
155,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,KAOS POLOS BANDUNG / CEMARA CLOTHING,JL. CEMARA NO. 63,"-6.8834396127792585, 107.59844359504659",2021,-6.8834396127792585,107.59844359504659
156,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GILDAN BANDUNG,JL. TM. CIBEUNYIN SEL,"-6.907920493493678, 107.6267507288954",2021,-6.907920493493678,107.6267507288954
157,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,GUDANG JAM BANDUNG,JL. TERNATE NO. 29,"-6.907119693360329, 107.61384598962665",2021,-6.907119693360329,107.61384598962665
158,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,HURTZINEMEDIA STORE,JL. GUDANG SELATAN NO. 22A,"-6.916684481646385, 107.62079758537884",2021,-6.916684481646385,107.62079758537884
159,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,POSHBRAIN STUDIO,JL. GUDANG SELATAN NO. 22,"-6.916895354640224, 107.62093414218135",2021,-6.916895354640224,107.62093414218135
160,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,PABRIK-JEANS.COM,JL. GUDANG UTARA NO. 4,"-6.915072796311031, 107.619781000513",2021,-6.915072796311031,107.619781000513
161,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,ZOYA,JL. RUMAH SAKIT NO. 131,"-6.9276416083992665, 107.69463707980415",2021,-6.9276416083992665,107.69463707980415
162,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,BEST CARE,JL. KEMUNING NO. 23,"-6.915068293165974, 107.62815559512087",2021,-6.915068293165974,107.62815559512087
163,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,THE HALLWAY,KEBON PISANG SUMUR BANDUNG,"-6.919075875192521, 107.62245623565857",2021,-6.919075875192521,107.62245623565857
164,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TAMIM 27,JL. TAMIM NO. 27,"-6.918076753295115, 107.60366566492453",2021,-6.918076753295115,107.60366566492453
165,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,TOKO GONZO,JL. SETRAINDAH BARAT NO. 2,"-6.881825610269285, 107.58796799025642",2021,-6.881825610269285,107.58796799025642
166,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,CHIODA SPORTS MARKET,JL. KEJAKSAAN NO. 19,"-6.917948929441125, 107.6109187036164",2021,-6.917948929441125,107.6109187036164
167,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,D'FASHION TEXTILE & TAILOR,JL. VETEREAN NO. 41,"-6.919013983643716, 107.61613291318217",2021,-6.919013983643716,107.61613291318217
168,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,DBL STORE BANDUNG,JL. CIHAMPELAS NO. 248,"-6.888047672766455, 107.60406614849221",2021,-6.888047672766455,107.60406614849221
169,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,MONALIZA,JL. L. L. R. E. MARTADINATA NO. 170,"-6.915064730290696, 107.62945156567447",2021,-6.915064730290696,107.62945156567447
170,32,JAWA BARAT,3273,KOTA BANDUNG,OUTLET,LAVIE BABY HOURSE,JL. IMAM BONJOL NO. 6,"-6.893926279276422, 107.61555055352467",2021,-6.893926279276422,107.61555055352467
